animal,page_title,animal_class
Giant panda,Giant_panda,Mammal
Red panda,Red_panda,Mammal
Blue whale,Blue_whale,Mammal
Bald eagle,Bald_eagle,Bird
Komodo dragon,Komodo_dragon,Reptile
